src_url,english_names,japanese_names
"https://en.wikipedia.org/wiki/Nanporo,_Hokkaido",Nanporo,南幌; 南幌町
"https://en.wikipedia.org/wiki/Naie,_Hokkaido",Naie,奈井江; 奈井江町
"https://en.wikipedia.org/wiki/Kamisunagawa,_Hokkaido",Kamisunagawa,上砂川; 上砂川町
"https://en.wikipedia.org/wiki/Yuni,_Hokkaido",Yuni,由仁; 由仁町
"https://en.wikipedia.org/wiki/Naganuma,_Hokkaido",Naganuma,長沼; 長沼町
"https://en.wikipedia.org/wiki/Kuriyama,_Hokkaido",Kuriyama,栗山; 栗山町
"https://en.wikipedia.org/wiki/Tsukigata,_Hokkaido",Tsukigata,月形; 月形町
"https://en.wikipedia.org/wiki/Urausu,_Hokkaido",Urausu,浦臼; 浦臼町
"https://en.wikipedia.org/wiki/Shintotsukawa,_Hokkaido",Shintotsukawa,新十津川; 新十津川町
"https://en.wikipedia.org/wiki/Moseushi,_Hokkaido",Moseushi,妹背牛; 妹背牛町
"https://en.wikipedia.org/wiki/Chippubetsu,_Hokkaido",Chippubetsu,秩父別; 秩父別町
"https://en.wikipedia.org/wiki/Ury%C5%AB,_Hokkaido",Uryū,雨竜; 雨竜町
"https://en.wikipedia.org/wiki/Hokury%C5%AB,_Hokkaido",Hokuryū,北竜; 北竜町
"https://en.wikipedia.org/wiki/Numata,_Hokkaido",Numata,沼田; 沼田町
"https://en.wikipedia.org/wiki/T%C5%8Dbetsu,_Hokkaido",Tōbetsu,当別; 当別町
"https://en.wikipedia.org/wiki/Suttsu,_Hokkaido",Suttsu,寿都; 寿都町
"https://en.wikipedia.org/wiki/Kuromatsunai,_Hokkaido",Kuromatsunai,黒松内; 黒松内町
"https://en.wikipedia.org/wiki/Rankoshi,_Hokkaido",Rankoshi,蘭越; 蘭越町
"https://en.wikipedia.org/wiki/Niseko,_Hokkaido",Niseko,ニセコ; ニセコ町
"https://en.wikipedia.org/wiki/Kimobetsu,_Hokkaido",Kimobetsu,喜茂別; 喜茂別町
"https://en.wikipedia.org/wiki/Ky%C5%8Dgoku,_Hokkaido",Kyōgoku,京極; 京極町
"https://en.wikipedia.org/wiki/Kutchan,_Hokkaido",Kutchan,倶知安; 倶知安町
"https://en.wikipedia.org/wiki/Ky%C5%8Dwa,_Hokkaido",Kyōwa,共和; 共和町
"https://en.wikipedia.org/wiki/Iwanai,_Hokkaido",Iwanai,岩内; 岩内町
"https://en.wikipedia.org/wiki/Shakotan,_Hokkaido",Shakotan,積丹; 積丹町
"https://en.wikipedia.org/wiki/Furubira,_Hokkaido",Furubira,古平; 古平町
"https://en.wikipedia.org/wiki/Niki,_Hokkaido",Niki,仁木; 仁木町
"https://en.wikipedia.org/wiki/Yoichi,_Hokkaido",Yoichi,余市; 余市町
"https://en.wikipedia.org/wiki/Toyoura,_Hokkaido",Toyoura,豊浦; 豊浦町
"https://en.wikipedia.org/wiki/T%C5%8Dyako,_Hokkaido",Tōyako,洞爺湖; 洞爺湖町
"https://en.wikipedia.org/wiki/S%C5%8Dbetsu,_Hokkaido",Sōbetsu,壮瞥; 壮瞥町
